0.032603,-1.9472,1.4197,0.35021,3.2509,3.2178,-1.605,-1.5953,-1.6341,2.2306,1.6265,1.9666,-18.358,6.9963,0.69913,-2.0122,-4.1792,0.33012,0.32079,1.2113,-0.26615,-1.8655,3
0.018372,-1.3498,1.2832,0.28329,2.4828,2.4506,-1.1803,-1.1863,-1.4791,2.0908,1.0772,2.0903,-21.665,10.479,2.6952,-2.3622,-3.0528,0.37203,-0.56072,-1.3183,0.86256,-3.0654,5
0.0040179,-1.5434,1.2301,0.34649,2.9672,2.9916,-1.6403,-1.6334,-1.4945,2.2206,1.1881,2.2671,-19.456,13.883,3.9242,-0.87075,-3.2763,0.15679,1.7271,-0.9095,1.3127,-2.1616,7
0.076893,-2.0948,1.4806,0.39407,3.4309,3.4159,-1.8844,-1.9025,-1.3929,2.4787,1.2295,2.4409,-24.156,8.2109,7.1888,0.26251,-4.3173,-1.01,-0.89819,0.35209,-0.12316,-0.66448,7
0.011802,-1.7119,1.2985,0.24361,2.0634,2.0497,-0.88656,-0.88438,-1.7122,2.4779,1.9348,2.3542,-25.257,15.947,4.6474,0.97528,-4.2612,0.91819,-0.7565,0.21118,2.0836,-0.37991,5
0.012058,-1.8252,1.1332,0.35096,3.2994,3.2625,-1.5444,-1.5488,-1.9923,2.332,1.6971,2.2946,-24.819,15.122,3.6097,1.2375,-3.965,0.56027,0.10608,0.36866,1.8493,-1.6739,3
0.0059988,-1.4245,1.2676,0.21628,2.0131,2.0494,-0.73844,-0.71906,-1.5248,2.2561,0.5453,2.2514,-22.057,8.7468,3.6124,-0.14724,-2.8389,0.60991,2.588,-0.41488,2.8441,-0.3256,2
0.011348,-1.4049,1.4031,0.30372,2.5609,2.5466,-1.3322,-1.3341,-0.8765,2.0458,1.1588,2.0222,-12.9,9.4526,5.7472,-2.6199,-6.7693,-1.3034,0.49417,-0.87402,1.9298,-1.7684,1
0.172,-1.9352,2.0923,0.37582,3.2266,3.2378,-1.8553,-1.8594,-0.6218,1.4364,0.5684,1.4882,-23.646,9.371,5.92,-1.328,-9.0806,5.4585,0.45095,-0.78668,0.59481,0.23309,6
0.013764,-1.3679,1.369,0.34091,2.9347,2.885,-1.5203,-1.5163,-1.4505,2.3586,1.7039,2.235,-21.581,11.915,1.9471,-1.8122,-2.5869,-0.77793,-1.936,-0.84222,1.1029,-1.6094,7
